abdicate
raiment
rancorous
raucous
raze
rebuke
rebut
recalcitrant
recondite
redoubtable
redress
refulgent
refute
rejoinder
relegate
remiss
remuneration
renounce
repast
replete
repose
reprehensible
reproach
repudiate
repugnant
requite
rescind
restive
reticent
revere
reviler
rhapsodize
rhetoric
ribald
rococo
sacrosanct
sagacious
sage
salient
salubrious
sanctimonious
sanguine
sardonic
satiate
schism
scintillating
scoff
scrupulous
sedition
sedulous
sentient
seraphic
sibilant
sinecure
slake
sobriquet
solecism
solicitious
solvent
somnolent
sonorous
sophistry
soporific
Spartan
specious
sportive
spurious
squalid
stasis
stentorian
stevedore
stifle
stigma
stoic
stolid
stricture
stultify
stymie
sublime
subterfuge
subtle
subversive
succinct
sully
supercilious
superfluous
supplant
surfeit
surly
surreptitious
sybarite
sycophant
symbiosis
syncopated
tacit
taciturn
tawdry
temerity
temperate
tenacious
toady
tome
torpid
transient
treacly
trenchant
trite
truculence
truncated
turgid
turpitude
tyro
ubiquitious
umbrage
unctuous
untenable
upbraid
usury
vacillate
vainglorious
venerated
veracity
verbose
verdant
verisimilitude
vestige
vicissitude
vim
virtuoso
viscous
vitiate
vitriolic
vituperate
vociferous
voluble
wane
wanton
whimsical
wily
wistful
wizened
wraith
zealous
zenith
zephyr
